"nom","code_iris","nom_iris"
"Bois-Blancs","593500804","Aviateurs"
"Bois-Blancs","593500601","Baltique-Vieux Faubourg"
"Bois-Blancs","593500802","Canteleu"
"Bois-Blancs","593500303","Catinat"
"Bois-Blancs","593500310","Citadelle"
"Bois-Blancs","593500304","Cordonnier"
"Bois-Blancs","593500308","Grande Brasserie"
"Bois-Blancs","593500309","Lestiboudois"
"Bois-Blancs","593500307","Lille-Acier"
"Bois-Blancs","593500801","Marx Dormoy"
"Bois-Blancs","593502902","Mont à Camp-Marais 2"
"Bois-Blancs","593502904","Mont à Camp-Marais 4"
"Bois-Blancs","593503001","Sud Marais 1"
"Bois-Blancs","593500803","Vieux Bois-Blancs"
"Faubourg de Béthune","593500601","Baltique-Vieux Faubourg"
"Faubourg de Béthune","593500711","Balzac-Lazarre Garreau"
"Faubourg de Béthune","593500602","Concorde 1"
"Faubourg de Béthune","593500604","Concorde 2"
"Faubourg de Béthune","593500403","Magenta-Fombello"
"Faubourg de Béthune","593500801","Marx Dormoy"
"Faubourg de Béthune","593500401","Montebello"
"Faubourg de Béthune","593500501","Strasbourg"
"Faubourg de Béthune","593500603","Verhaeren"
"Fives","593501003","Caulier"
"Fives","593501001","Centre"
"Fives","593502503","Centre 3"
"Fives","593501006","Convention"
"Fives","593501002","Entrée Lille Fives"
"Fives","593502401","Épine Mont de Terre 1"
"Fives","593502403","Épine Mont de Terre 3"
"Fives","593502404","Épine Mont de Terre 4"
"Fives","593501005","Lannoy"
"Fives","593502602","Les Sarts 2"
"Fives","593500113","Lille Centre 13"
"Fives","593501004","Marbrerie"
"Fives","593501007","Mont de Terre"
"Fives","593501008","Petit Maroc"
"Fives","593500906","Saint-Maurice des Champs"
"Fives","593500908","Saint-Maurice-Saint-Gabriel"
"Hellemmes","593502501","Centre 1"
"Hellemmes","593502502","Centre 2"
"Hellemmes","593502503","Centre 3"
"Hellemmes","593502401","Épine Mont de Terre 1"
"Hellemmes","593502402","Épine Mont de Terre 2"
"Hellemmes","593502403","Épine Mont de Terre 3"
"Hellemmes","593502404","Épine Mont de Terre 4"
"Hellemmes","593502405","Épine Mont de Terre 5"
"Hellemmes","593501005","Lannoy"
"Hellemmes","593502601","Les Sarts 1"
"Hellemmes","593502602","Les Sarts 2"
"Hellemmes","593502603","Les Sarts 3"
"Hellemmes","593501004","Marbrerie"
"Hellemmes","593501007","Mont de Terre"
"Hellemmes","593501008","Petit Maroc"
"Lille-Centre","593500506","Arras"
"Lille-Centre","593500503","Arsenal"
"Lille-Centre","593500507","Belfort"
"Lille-Centre","593501003","Caulier"
"Lille-Centre","593500310","Citadelle"
"Lille-Centre","593500305","Colson"
"Lille-Centre","593500404","Flandre"
"Lille-Centre","593500408","Justice"
"Lille-Centre","593500101","Lille Centre 1"
"Lille-Centre","593500110","Lille Centre 10"
"Lille-Centre","593500111","Lille Centre 11"
"Lille-Centre","593500112","Lille Centre 12"
"Lille-Centre","593500113","Lille Centre 13"
"Lille-Centre","593500114","Lille Centre 14"
"Lille-Centre","593500115","Lille Centre 15"
"Lille-Centre","593500116","Lille Centre 16"
"Lille-Centre","593500117","Lille Centre 17"
"Lille-Centre","593500118","Lille Centre 18"
"Lille-Centre","593500119","Lille Centre 19"
"Lille-Centre","593500104","Lille Centre 4"
"Lille-Centre","593500105","Lille Centre 5"
"Lille-Centre","593500106","Lille Centre 6"
"Lille-Centre","593500107","Lille Centre 7"
"Lille-Centre","593500108","Lille Centre 8"
"Lille-Centre","593500109","Lille Centre 9"
"Lille-Centre","593500409","Mairie"
"Lille-Centre","593501008","Petit Maroc"
"Lille-Centre","593500502","Seclin"
"Lille-Centre","593500508","Trévise"
"Lille-Centre","593500302","Vauban-Esquermes"
"Lille-Centre","593500202","Vieux Lille 2"
"Lille-Centre","593500203","Vieux Lille 3"
"Lille-Centre","593500204","Vieux Lille 4"
"Lille-Moulins","593500506","Arras"
"Lille-Moulins","593500503","Arsenal"
"Lille-Moulins","593500711","Balzac-Lazarre Garreau"
"Lille-Moulins","593500507","Belfort"
"Lille-Moulins","593500604","Concorde 2"
"Lille-Moulins","593500504","Fac de Droit"
"Lille-Moulins","593500408","Justice"
"Lille-Moulins","593500113","Lille Centre 13"
"Lille-Moulins","593500118","Lille Centre 18"
"Lille-Moulins","593500119","Lille Centre 19"
"Lille-Moulins","593500403","Magenta-Fombello"
"Lille-Moulins","593501008","Petit Maroc"
"Lille-Moulins","593500502","Seclin"
"Lille-Moulins","593500501","Strasbourg"
"Lille-Moulins","593500508","Trévise"
"Lille-Sud","593500707","400 Maisons-Cimetière du Sud"
"Lille-Sud","593500601","Baltique-Vieux Faubourg"
"Lille-Sud","593500711","Balzac-Lazarre Garreau"
"Lille-Sud","593500701","C.H.R."
"Lille-Sud","593500604","Concorde 2"
"Lille-Sud","593500704","Croisette A"
"Lille-Sud","593500705","Croisette B"
